source,text,created_at,retweet_count,favorite_count,is_retweet,id_str,text_cleaned,emotional_state
Twitter for iPhone,Democrats just blocked @FoxNews from holding a debate. Good then I think I’ll do the same thing with the Fake News Networks and the Radical Left Democrats in the General Election debates!,3/7/19 0:05,39620,163793,False,1.1e+18,democrats blocked holding debate good think thing fake news networks radical left democrats general election debates,"[[[0.     0.     0.     0.    ]
  [0.5    0.938  0.368  0.534 ]
  [0.     0.     0.     0.    ]
  [0.     0.     0.     0.    ]
  [0.5    0.938  0.368  0.534 ]
  [0.     0.     0.     0.    ]
  [0.5    0.938  0.368  0.534 ]
  [1.     0.886  0.426  0.6935]]]"
Twitter for iPhone,Wall Street Journal: “More migrant families crossing into the U.S. illegally have been arrested in the first five months of the federal fiscal year than in any prior full year.” We are doing a great job at the border but this is a National Emergency!,3/7/19 0:02,23578,94096,False,1.1e+18,wall street journal migrant families crossing u illegally arrested first five months federal fiscal year prior full year great job border national emergency,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [1.    0.2   0.9   0.571]
  [0.    0.    0.    0.   ]
  [1.    0.2   0.9   0.571]
  [1.    0.2   0.9   0.571]
  [0.    0.    0.    0.   ]]]"
Twitter for iPhone,Congressman Chris Stewart: “No one is accusing the President of a crime and yet they (the Democrats) are issuing hundreds of subpoenas. This is unprecedented.” They are desperately trying to find anything they can even a punctuation mistake in a document!,3/6/19 23:56,24546,88892,False,1.1e+18,congressman chris stewart one accusing president crime yet democrats issuing hundreds subpoenas unprecedented desperately trying find anything even punctuation mistake document,"[[[0.33333333 0.1135     0.844      0.477     ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.16666667 0.156      0.745      0.324     ]
  [0.         0.         0.         0.        ]
  [0.16666667 0.208      0.585      0.102     ]
  [0.16666667 0.5        0.491      0.658     ]
  [0.33333333 0.5575     0.5465     0.925     ]]]"
Twitter for iPhone,American Workforce Policy Advisory Board Meeting at the @WhiteHouse! https://t.co/izb2tTrINB,3/6/19 22:04,10818,43018,False,1.1e+18,american workforce policy advisory board meeting,"[[[0.    0.    0.    0.   ]
  [0.5   0.592 0.255 0.385]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.324 0.735 0.833]]]"
Twitter for iPhone,It is shameful that House Democrats won’t take a stronger stand against Anti-Semitism in their conference. Anti-Semitism has fueled atrocities throughout history and it’s inconceivable they will not act to condemn it!,3/6/19 19:50,28268,107157,False,1.1e+18,shameful house democrats take stronger stand anti semitism conference anti semitism fueled atrocities throughout history inconceivable act condemn,"[[[0.5   0.102 0.793 0.625]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.5   0.04  0.68  0.264]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]]]"
Twitter for iPhone,Senate Republicans are not voting on constitutionality or precedent they are voting on desperately needed Border Security &amp; the Wall. Our Country is being invaded with Drugs Human Traffickers &amp; Criminals of all shapes and sizes. That’s what this vote is all about. STAY UNITED!,3/6/19 17:54,30224,115053,False,1.1e+18,senate republicans voting constitutionality precedent voting desperately needed border security amp wall country invaded drugs human traffickers amp criminals shapes sizes vote stay united,"[[[0.33333333 0.582      0.5        0.649     ]
  [0.33333333 0.582      0.5        0.649     ]
  [0.         0.         0.         0.        ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.582      0.5        0.649     ]
  [0.33333333 0.582      0.5        0.649     ]
  [0.33333333 0.582      0.5        0.649     ]
  [1.         0.61766667 0.42666667 0.756     ]]]"
Twitter for iPhone,RT @DonaldJTrumpJr: Jim Jordan: No evidence of Trump colluding with Russia but 'all kinds' showing Clinton campaign did https://t.co/XR2hU…,3/6/19 4:54,29410,0,True,1.1e+18,rt jim jordan evidence trump colluding russia kinds showing clinton campaign,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [1.    0.64  0.716 0.898]
  [0.    0.    0.    0.   ]]]"
Twitter for iPhone,Weirdo Tom Steyer doesn’t have the “guts” or money to run for President. He’s all talk! https://t.co/klmVsCmeNE,3/6/19 4:53,15121,61609,False,1.1e+18,weirdo tom steyer guts money run president talk,"[[[0.33333333 0.844      0.608      0.827     ]
  [0.33333333 0.844      0.608      0.827     ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.173      0.539      0.328     ]
  [0.33333333 0.844      0.608      0.827     ]
  [0.         0.         0.         0.        ]
  [0.33333333 0.844      0.608      0.827     ]
  [0.66666667 0.7605     0.615      0.9       ]]]"
Twitter for iPhone,RT @DonaldJTrumpJr: Weird that all of a sudden the Fake Dossier author (paid for by Hillary and the DNC etc) no longe wants to show up and…,3/6/19 4:45,17262,0,True,1.1e+18,rt weird sudden fake dossier author paid hillary dnc etc longe wants show,"[[[0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.25  0.26  0.66  0.402]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.    0.    0.    0.   ]
  [0.25  0.449 0.66  0.435]
  [0.5   0.724 0.557 0.734]]]"
Twitter for iPhone,RT @IngrahamAngle: Tune in tonight for blockbuster analysis of the Dems’ colossally stupid decision to overreach with overbroad subpoenas..…,3/6/19 4:43,8398,0,True,1.1e+18,rt tune tonight blockbuster analysis dems colossally stupid decision overreach overbroad subpoenas,"[[[0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]
  [0 0 0 0]]]"
